epoch,train_loss,train_iou,train_pixel_acc,val_loss,val_iou,val_pixel_acc,train_bce,train_dice,train_edge,val_bce,val_dice,val_edge,lr
14,0.4429152664471506,0.513187789887227,0.9802833711461033,0.43263562611291106,0.5264130421507527,0.9803972617841102,0.05997819477662016,0.37710435426190553,0.029163588569749533,0.06000758063467875,0.36700473075181667,0.028116571152923812,0.0002
15,0.4420151280032264,0.5137694899211365,0.9803755149412691,0.4325297835847022,0.527517385885749,0.9803497119688652,0.05952238817972488,0.376668112257149,0.029123139129335365,0.060102787419733864,0.36680636565450214,0.02810315233589688,0.0002
16,0.43992335660924925,0.5156329437141561,0.9804606451077408,0.43322303198592765,0.5279577697666598,0.9795528457198345,0.05913588370007001,0.37500080797407365,0.028933327603206205,0.061882946338557024,0.3655196168053318,0.029102348879924123,0.0002
17,0.4385984716343969,0.516796596432,0.9805538666977567,0.43129165890351145,0.5279879897413119,0.979939126212832,0.05884105959830436,0.3739852328574315,0.028860894282965847,0.06186760808537963,0.3638297185091905,0.027971671848282427,0.0002
18,0.4368246106544833,0.5182493867424692,0.980654072076938,0.4293942615179948,0.5295206157254501,0.9804771068230481,0.05859412046174953,0.3724813837832428,0.028745532953197813,0.060035331804357786,0.3637939779691293,0.027824761923140203,0.0002
19,0.435243266538139,0.5196082756834828,0.9807760254125322,0.430951455949058,0.529147851215282,0.9805163476668614,0.058044194444995395,0.371466157216109,0.028664576168754573,0.06382395311350554,0.3615954786958829,0.02766011837660007,0.0002
20,0.4346895826220066,0.5195846593335327,0.9808409144071752,0.4273422872516471,0.5318595036654405,0.9808726478630388,0.0576991042571047,0.3712694435083911,0.028605173865144842,0.060102857255809744,0.36183606528900036,0.027016818044628476,0.0002
21,0.43353681238403036,0.5207575886660301,0.9809336047642835,0.4291667877368524,0.5301978743412126,0.9801073964212982,0.057598671007357286,0.37024563037500846,0.02846255394445265,0.05926746295266588,0.36428724837974763,0.028060375365205635,0.0002
22,0.43001780940798784,0.5238260471642241,0.9810972933316796,0.42770500040390125,0.531434040044395,0.9806534438066079,0.057003270681207995,0.36734425299771867,0.02835143328564109,0.06137967012612752,0.3608439556309875,0.027406866904872824,0.0002
23,0.4292587348063489,0.5243434028307001,0.9811961426121762,0.4291189189108325,0.5308368625775189,0.9804033091370489,0.05666892396079169,0.3669445679875349,0.028226210156713755,0.06111118838873128,0.36253923849320746,0.027342461810355455,0.0001
24,0.4235964889978797,0.5289648969224032,0.9815243191635713,0.42470532110039616,0.5345771107035624,0.9808253284911035,0.05523022238662776,0.36278523964233017,0.02790513581197509,0.06138178678622968,0.3579254175575686,0.02699059045965403,0.0001
25,0.42180313692706056,0.5303973266471191,0.9816939913378226,0.4252918557801717,0.5345151902924121,0.9805953586605233,0.05467481447730246,0.3615772891580389,0.027755167174819257,0.061356475642344484,0.35849140143730274,0.027219910122139354,0.0001
26,0.42015534311942243,0.5318553660916032,0.9817613367730759,0.4247118184264277,0.5348683887384307,0.9806825778853725,0.05436179281843735,0.36025229993086777,0.027706252881901317,0.062113342321359774,0.3571952892021394,0.02701592693944842,0.0001
27,0.4191262737270003,0.5324752147352502,0.981844590993112,0.42506842168284137,0.5352162036677481,0.9805221259593964,0.054091360843211374,0.35950514127252703,0.02764885989918877,0.06279637558307026,0.3568266046718812,0.02722721943684237,5e-05
